Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Outlet_Age,Item_Visibility_bins,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable
NCG42,19.2,0.041220035,131.231,OUT035,3635.268,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDT31,19.75,0.01247354,187.5872,OUT045,1323.6104,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRD25,6.135,0.079132212,112.686,OUT045,2942.836,16,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDR35,12.5,0.020693809,199.1742,OUT035,4379.6324,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDL33,7.235,0.10016525,193.9452,OUT045,2936.178,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDT45,15.85,0.057302606,53.3956,OUT035,600.5516,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDT16,9.895,0.048761046,260.5278,OUT045,8851.1452,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
DRE49,20.75,0.0,153.0024,OUT035,2428.8384,14,3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
DRF60,10.8,0.052149675,239.9564,OUT049,3813.7024,19,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
NCB54,8.76,0.050130529,128.3336,OUT049,2556.672,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDH20,16.1,0.024987903,97.341,OUT049,1255.033,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDA31,7.1,0.109990885,172.908,OUT035,2769.728,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDE33,19.35,0.049736267,76.8644,OUT045,1571.288,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDM12,16.7,0.117026714,189.2214,OUT010,188.4214,20,2,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDW44,9.5,0.035121963,168.6448,OUT013,1022.6688,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
DRE48,8.43,0.017311312,197.8768,OUT013,3744.4592,31,2,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
NCX18,14.15,0.008811818,196.511,OUT045,2749.754,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDA38,5.44,0.025583714,239.1538,OUT018,480.7076,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDQ19,7.35,0.014353174,242.6512,OUT013,969.4048,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDY47,12.792854228644284,0.054220618,129.131,OUT027,4933.578,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDE17,20.1,0.054410179,151.3366,OUT013,2720.4588,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDY25,12.0,0.033974436,181.8976,OUT046,4527.44,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDT03,21.25,0.009996872,185.5608,OUT035,3123.9336,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDB49,8.3,0.030212499,98.0384,OUT045,2857.6136,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDL43,10.1,0.027217468,76.067,OUT017,1454.773,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDE47,14.15,0.038123176,123.5046,OUT017,1992.0736,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDS49,9.0,0.079506434,78.3644,OUT045,1728.4168,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDU23,12.15,0.021811987,163.6184,OUT018,2311.6576,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDU38,12.792854228644284,0.082150145,192.9504,OUT027,7478.2656,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDV09,12.792854228644284,0.036012919,148.0734,OUT019,593.8936,33,2,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDR20,20.0,0.028167478,45.5744,OUT049,452.744,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDY11,6.71,0.029560451,65.8142,OUT046,856.8846,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDG40,12.792854228644284,0.039631495,31.9558,OUT027,984.7182,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDX20,7.365,0.04280099,228.372,OUT017,2037.348,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDZ27,7.935,0.017141985,50.035,OUT013,149.805,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDH09,12.6,0.056394771,51.3982,OUT017,473.3838,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDG29,17.6,0.056379439,42.7454,OUT049,293.6178,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
NCA30,19.0,0.129534812,190.1872,OUT049,5105.3544,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
NCL53,7.5,0.036439878,175.3028,OUT017,3010.7476,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
DRE15,13.35,0.0,77.6012,OUT046,986.7156,21,3,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
NCS38,8.6,0.090191431,112.9176,OUT046,458.0704,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDB58,10.5,0.022590318,140.6154,OUT010,283.6308,20,2,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDH41,9.0,0.082011521,213.3534,OUT046,1935.4806,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
DRF23,4.61,0.122843005,172.4396,OUT049,1569.9564,19,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDE05,10.895,0.05432142,146.2102,OUT010,437.4306,20,2,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDY10,17.6,0.049144165,112.7176,OUT049,1717.764,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDS43,11.65,0.040577878,188.224,OUT049,1304.968,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
NCM30,19.1,0.067400032,41.9796,OUT049,784.3124,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDY49,17.2,0.012036432,165.7184,OUT045,1816.3024,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDN02,16.5,0.073977473,206.8638,OUT045,2070.638,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDP37,15.6,0.143396175,128.0994,OUT045,2184.4898,16,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
NCF07,9.0,0.03201648,99.6016,OUT035,1922.8304,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDJ09,15.0,0.058346234,44.0744,OUT013,633.8416,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDO23,12.792854228644284,0.14571827,94.3436,OUT027,2269.0464,33,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDH09,12.792854228644284,0.055806016,52.4982,OUT027,1209.7586,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDX34,6.195,0.072097449,119.3098,OUT049,1205.098,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDV60,20.2,0.117543713,197.311,OUT049,3338.987,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDE32,20.7,0.048718334,38.7506,OUT013,227.7036,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
NCI30,20.25,0.0591756,245.046,OUT018,4680.574,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDS37,7.655,0.031918284,117.7492,OUT013,695.0952,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDC57,12.792854228644284,0.095587976,193.982,OUT019,579.246,33,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
DRC01,5.92,0.019308607,49.0692,OUT017,1478.076,11,2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
DRD27,18.75,0.023974769,99.0042,OUT017,694.4294,11,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDI12,9.395,0.100602552,88.3856,OUT045,703.0848,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDQ33,13.35,0.091189915,149.3708,OUT035,4514.124,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDQ27,12.792854228644284,0.077480627,101.399,OUT019,206.398,33,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
NCB07,19.2,0.129731747,196.211,OUT010,589.233,20,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
FDC08,19.0,0.103363904,226.172,OUT013,3169.208,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDD20,14.15,0.020714523,124.2046,OUT046,2490.092,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDS24,20.85,0.062212713,88.1514,OUT035,1151.1682,14,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDH34,8.63,0.031271134,186.0582,OUT017,3900.9222,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
NCX30,16.7,0.026729068,248.4776,OUT018,6439.6176,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDM01,7.895,0.094567181,104.5332,OUT046,1845.5976,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDB20,7.72,0.05193741,77.9986,OUT013,934.7832,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
NCK29,5.615,0.126480422,121.573,OUT017,3202.498,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDS11,7.05,0.055644887,224.9088,OUT049,2684.5056,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
NCV41,14.35,0.028519419,109.2228,OUT010,221.0456,20,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
DRL60,8.52,0.027101431,151.7682,OUT049,2439.4912,19,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDV10,7.645,0.067083367,44.0112,OUT017,596.5568,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDV09,12.1,0.020652362,149.5734,OUT018,2227.101,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDQ39,14.8,0.081042136,192.4846,OUT046,5159.2842,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
DRE49,20.75,0.021336565,153.6024,OUT018,1366.2216,9,2,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
FDR45,10.8,0.029001987,238.6222,OUT045,8604.7992,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRJ23,18.35,0.069745165,190.2872,OUT010,378.1744,20,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
FDQ26,13.5,0.068148886,58.6562,OUT018,711.0744,9,2,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
NCA06,20.5,0.144094079,34.819,OUT017,1061.951,11,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDT24,12.35,0.186616421,78.6328,OUT018,1004.0264,9,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
DRG27,8.895,0.105323859,39.1138,OUT045,609.207,16,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDR02,16.7,0.022110425,110.8886,OUT045,3558.0352,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRG37,16.2,0.019374768,155.8972,OUT035,2025.3636,14,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
FDJ07,7.26,0.014482278,118.115,OUT018,1864.24,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDP32,6.65,0.087805788,126.7678,OUT049,1907.517,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDV59,13.35,0.048027043,218.9166,OUT046,5660.6316,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDP60,17.35,0.055908268,99.8016,OUT035,607.2096,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDE32,12.792854228644284,0.048522793,39.6506,OUT027,1024.6662,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDK26,5.46,0.032359413,187.424,OUT017,3169.208,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDW28,18.25,0.088807455,197.3452,OUT035,2740.4328,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDP56,8.185,0.046556408,47.7692,OUT049,640.4996,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDT25,7.5,0.050750977,122.2072,OUT046,1960.1152,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDQ12,12.65,0.035404052,230.601,OUT035,2067.309,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDR60,14.3,0.130390458,77.2328,OUT035,231.6984,14,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDZ10,17.85,0.074422769,128.002,OUT010,253.004,20,2,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
FDM13,6.425,0.105742544,130.5626,OUT010,131.1626,20,2,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
FDF26,6.825,0.046729336,153.4998,OUT045,2153.1972,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDN02,12.792854228644284,0.073470234,205.3638,OUT027,5383.6588,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
NCI30,20.25,0.058886477,245.546,OUT013,1724.422,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
NCJ31,19.2,0.18293775,243.0196,OUT049,3615.294,19,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
NCQ54,17.7,0.020993364,166.8474,OUT010,168.4474,20,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
FDB02,9.695,0.029223424,175.437,OUT045,2999.429,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDC02,12.792854228644284,0.068489201,259.3278,OUT027,4165.2448,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDA11,7.75,0.043326511,95.6436,OUT045,1134.5232,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRI23,12.792854228644284,0.136532569,159.6578,OUT027,2888.2404,33,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDE04,19.75,0.018051091,179.866,OUT049,2696.49,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDG46,12.792854228644284,0.057620562,115.4518,OUT019,113.8518,33,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
NCJ05,12.792854228644284,0.045865089,152.3682,OUT027,2287.023,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDU01,12.792854228644284,0.021002171,185.1924,OUT019,555.2772,33,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
FDY11,6.71,0.029727657,66.6142,OUT017,1120.5414,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDX60,14.35,0.080527065,79.296,OUT013,719.064,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
NCN29,15.2,0.0,47.8034,OUT049,437.4306,19,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDT07,5.82,0.0,256.633,OUT049,2050.664,19,3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDI21,5.59,0.056833394,61.9168,OUT018,1214.4192,9,2,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
FDI41,18.5,0.062256921,148.0418,OUT046,2059.9852,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDE10,12.792854228644284,0.089512542,133.1626,OUT027,3672.5528,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDQ28,14.0,0.060427062,153.5656,OUT046,3089.312,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
NCK05,12.792854228644284,0.135612397,61.1536,OUT019,61.2536,33,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
FDH12,9.6,0.085125951,107.128,OUT045,1278.336,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDJ27,17.7,0.122565413,103.8674,OUT017,1528.011,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
DRL35,15.7,0.0,43.377,OUT010,129.831,20,3,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
NCY29,13.65,0.077670981,55.093,OUT017,1301.639,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDC21,14.6,0.043201813,110.1254,OUT017,1844.9318,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDM33,15.6,0.088215871,220.1798,OUT017,5068.7354,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRJ39,20.25,0.036295834,217.5482,OUT013,1095.241,31,2,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDB22,8.02,0.186528819,151.9998,OUT010,307.5996,20,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
FDC32,18.35,0.099026525,93.8462,OUT013,1295.6468,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDD02,16.6,0.0,118.8124,OUT046,2607.2728,21,3,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDL28,10.0,0.063162608,228.6668,OUT035,3455.502,14,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDL39,16.1,0.063429818,179.4318,OUT049,2345.6134,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDV37,13.0,0.139785104,196.2426,OUT010,197.7426,20,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDA28,16.1,0.04807227,126.5362,OUT017,1761.7068,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDL04,19.0,0.112097433,105.5622,OUT049,1905.5196,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDR10,17.6,0.010037996,163.5552,OUT035,3086.6488,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDA39,6.32,0.012789884,39.1822,OUT017,1060.6194,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDR15,9.3,0.033431669,153.1314,OUT035,4653.942,14,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDQ40,11.1,0.03623131,175.0712,OUT017,3339.6528,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
DRG23,12.792854228644284,0.086360962,151.2682,OUT027,2439.4912,33,2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDU36,6.15,0.046232445,99.4384,OUT013,1379.5376,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDF47,20.85,0.097618234,223.9746,OUT046,897.4984,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDH14,17.1,0.046808553,141.4838,OUT046,1404.838,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDO45,13.15,0.03810738,86.3856,OUT018,615.1992,9,2,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
FDK60,16.5,0.093846532,95.7068,OUT035,1069.2748,14,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDS43,11.65,0.040744057,185.924,OUT017,4101.328,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDN44,13.15,0.022831052,160.292,OUT049,4793.76,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDS34,19.35,0.076878416,113.9518,OUT049,1138.518,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDU20,19.35,0.021501067,122.2098,OUT045,2771.7254,16,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDP44,16.5,0.07964724,101.4332,OUT013,1948.1308,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDC02,21.35,0.068809463,258.5278,OUT035,5206.556,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDT56,16.0,0.115570552,57.5246,OUT035,173.7738,14,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
NCA06,20.5,0.143164371,34.919,OUT013,73.238,31,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
FDE04,19.75,0.018008071,180.466,OUT013,3415.554,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
NCX06,17.6,0.015775777,179.1976,OUT017,3803.0496,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDX49,4.615,0.102407778,234.33,OUT017,3961.51,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
DRM59,5.88,0.003606726,154.1998,OUT018,1384.1982,9,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
FDJ34,11.8,0.093801337,126.0704,OUT049,1251.704,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDP60,17.35,0.0,101.9016,OUT013,1821.6288,31,3,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDI07,12.35,0.033760862,196.9426,OUT046,5141.3076,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDV07,12.792854228644284,0.031131455,111.0228,OUT027,3205.1612,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDH41,9.0,0.082177842,214.1534,OUT045,1720.4272,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
NCB31,6.235,0.118858866,263.291,OUT049,3418.883,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDW34,9.6,0.0,244.817,OUT035,4374.306,14,3,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDX45,16.75,0.105448901,156.163,OUT017,782.315,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDH14,17.1,0.046881328,141.3838,OUT049,1685.8056,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDF26,6.825,0.078057026,154.5998,OUT010,153.7998,20,2,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDU24,6.78,0.140955857,92.212,OUT017,4101.328,11,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDX11,16.0,0.107186944,181.9634,OUT018,3453.5046,9,2,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
FDF35,15.0,0.153960209,105.9938,OUT035,1179.1318,14,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCC43,7.39,0.093160853,251.3066,OUT018,1004.0264,9,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDG29,17.6,0.05629192,42.5454,OUT046,419.454,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDS44,12.65,0.15604396,239.6538,OUT046,3845.6608,21,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDZ10,17.85,0.044463491,127.102,OUT046,2024.032,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDC52,11.15,0.00827301,150.4708,OUT013,1956.1204,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
DRL35,15.7,0.030697825,42.877,OUT035,1168.479,14,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
NCP55,14.65,0.0,56.4614,OUT010,55.2614,20,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
FDV38,12.792854228644284,0.101281,55.0956,OUT027,2020.0372,33,2,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDL44,18.25,0.012300013,160.4894,OUT045,3073.9986,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDZ47,20.7,0.0,98.7042,OUT017,1884.8798,11,3,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDT45,15.85,0.057313443,53.3956,OUT046,1364.89,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDN23,6.575,0.075625152,145.7444,OUT049,3193.1768,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
NCP43,17.75,0.030568919,177.866,OUT045,2336.958,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDA02,12.792854228644284,0.029578726,143.5786,OUT027,3756.4436,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDF56,16.7,0.120137953,181.2976,OUT017,3078.6592,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
NCN26,10.85,0.028679894,115.1808,OUT046,2109.2544,21,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDD22,10.0,0.099804623,113.7544,OUT049,3243.7776,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDU15,13.65,0.044526443,37.9532,OUT010,71.9064,20,2,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDB41,19.0,0.162882227,46.8718,OUT010,189.0872,20,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDZ35,9.6,0.022404493,102.499,OUT017,2579.975,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDT60,12.0,0.075975642,124.1388,OUT017,1486.0656,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDE51,5.925,0.09644909,43.8086,OUT035,312.2602,14,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
NCQ06,13.0,0.041816615,254.5014,OUT035,4845.0266,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDS28,8.18,0.082867689,58.5588,OUT017,171.7764,11,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDH32,12.8,0.076214289,96.541,OUT045,1834.279,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDW37,19.2,0.124301968,89.7488,OUT045,2082.6224,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDY33,14.5,0.097201128,159.4262,OUT046,2705.1454,21,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDF17,5.19,0.042861968,196.811,OUT017,3731.809,11,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDG56,13.3,0.0713931,61.0536,OUT013,1592.5936,31,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
NCB18,19.6,0.041256807,88.8514,OUT013,2125.2336,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
FDU14,17.75,0.034746076,248.275,OUT035,998.7,14,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDU22,12.35,0.093441604,119.1124,OUT049,3673.8844,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
NCV41,14.35,0.017024598,109.8228,OUT013,2099.9332,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
FDY52,6.365,0.007363189,63.2536,OUT045,1225.072,16,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRG48,12.792854228644284,0.014484582,143.9102,OUT027,3062.0142,33,2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDU01,12.792854228644284,0.011937183,184.7924,OUT027,4442.2176,33,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
NCP53,14.75,0.032862976,238.6906,OUT013,4278.4308,31,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
